0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
6.250000000000000000e-02	6.250000000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.250000000000000000e-01	1.250000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.875000000000000000e-01	1.875000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
2.500000000000000000e-01	2.500000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
3.125000000000000000e-01	3.125000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
3.750000000000000000e-01	3.750000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
4.375000000000000000e-01	4.375000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
5.000000000000000000e-01	5.000000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
5.625000000000000000e-01	5.625000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
6.250000000000000000e-01	6.250000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
6.875000000000000000e-01	6.875000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
7.500000000000000000e-01	7.500000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
8.125000000000000000e-01	8.125000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
8.750000000000000000e-01	8.750000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
9.375000000000000000e-01	9.375000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	-4.908738499999999727e-02	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.024533799999999939e+00	1.024504300000000034e+00	-1.203818300000000048e-03	-1.472621600000000031e-01	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
